Time                        Bx(nT)         By(nT)         Bz(nT)
          1215.2113         -0.9803         2.3633         8.5486
          1218.2193         -1.1478         2.4407         6.9974
          1221.2272         -0.4679         1.4166         8.8040
          1224.2352         -0.2304         0.4931         7.3583
          1227.2431         -0.3962         1.0786         7.1581
          1230.2511          0.6658         1.4147         8.4328
          1233.2590          1.3698         2.7269         8.9919
          1236.2670          2.2621         2.4985         8.8742
          1239.2749          0.6471        -0.0466        10.2128
          1242.2829          0.2595        -0.2010         6.8624
          1245.2908         -0.5846        -0.0959         7.9357
          1248.2987         -0.2076         0.3849         8.1369
          1251.3067          0.3597         1.6608        10.2080
          1254.3146          0.3914         1.9039        11.1533
          1257.3226          0.6485         1.5744        10.3183
          1260.3306         -0.1167         0.5047         9.4554
          1263.3385         -0.2789         0.2893         8.1752
          1266.3465          1.8584         1.1657        10.6478
          1269.3544          0.7820         0.3357         9.3519
          1272.3623         -0.8645         0.1992         6.0058
          1275.3703         -0.0248         0.9285         7.6797
          1278.3782          1.4401         1.3908         8.1398
          1281.3862          1.1981         2.3843        10.4631
          1284.3941          0.5157         2.6663         9.9038
          1287.4021          0.2253         1.5901        10.8418
          1290.4100         -0.2735         0.4711         7.9556
          1293.4180         -0.1038         0.3700         8.6622
          1296.4259          0.7681         0.3526         7.9324
          1299.4339          0.7819         1.0070         6.9855
          1302.4418          0.2272         0.9952         5.6576
          1305.4498          0.4180         2.5214         8.8098
          1308.4577          0.4514         1.7520         7.2281
          1311.4657          1.2555         0.8862        11.1621
          1314.4736         -0.2516         0.0450         9.5879
          1317.4816         -0.1169        -0.7075         7.5317
          1320.4895         -1.0773         0.2088         7.5823
          1323.4975         -0.2809         1.5819         8.6774
          1326.5054         -0.1516         1.5453         8.6113
          1329.5134          0.2927         2.5569        10.6828
          1332.5213          0.0963         2.5468        10.8764
          1335.5293         -0.7983         2.6928         9.3562
          1338.5372          0.0188         1.3002         6.6072
          1341.5452          0.6140         0.6771         7.0903
          1344.5531          1.1921         0.9998         9.4346
          1347.5611          1.4488         1.2514        10.4071
          1350.5690          0.4245         0.9347        10.0381
          1353.5770          0.2620         0.2115         7.4624
          1356.5849          0.2892         0.0539         7.4125
          1359.5929         -0.0467         0.0714         6.4798
          1362.6008          0.4629        -0.1411         8.0081
          1365.6088          1.7815        -0.4196         8.5508
          1368.6167          2.0185         0.4207        10.3965
          1371.6247          1.4262         1.3019        11.8438
          1374.6326         -0.3049         0.9450         7.1338
          1377.6406         -0.2385         0.9739         8.1199
          1380.6485          0.8348         1.6227         9.5264
          1383.6565          0.6553         2.5135        10.5134
          1386.6644          0.1933         1.0546         7.4275
          1389.6723          0.4546         0.2007         6.4123
          1392.6803          1.4989         1.9199         8.9459
