Time                      Vx(km/s)         Vy(km/s)       Vz(km/s)       Density(cm^-3)Temp(eV)
          553.46258       -250.6649       123.2236       -36.5292         8.9594        96.9353
          556.47053       -251.2744       122.9596       -35.2883         9.1090        90.7815
          559.47847       -249.4596       113.1753       -38.9228         9.9774        78.9464
          562.48642       -247.8913       104.3792       -39.6651        10.0894        85.9129
          565.49437       -251.6431       114.9184       -34.1889         9.4644        96.1067
          568.50231       -257.9968       126.4493       -34.4255         9.1234        96.2521
          571.51026       -258.7384       130.3034       -34.2408         8.8303        99.5520
          574.51823       -256.1139       130.9106       -32.6713         8.8618       101.9520
          577.52616       -253.1479       130.1532       -31.1092         8.7492       102.7487
          580.53412       -250.8355       124.1777       -29.7535         8.7387       104.3429
          583.54207       -254.6218       125.5862       -29.0000         8.5160       105.4102
          586.55002       -263.0093       133.6169       -26.8273         8.0704       106.7215
          589.55796       -260.5558       132.8735       -26.3606         7.7752       109.1833
          592.56591       -258.6751       130.2546       -26.9330         7.5790       108.5589
          595.57386       -264.2400       133.1431       -26.7730         8.0728       107.6531
          598.58181       -263.4974       134.2711       -26.9676         8.7782       103.8447
          601.58975       -256.5449       136.1259       -27.4197         8.8276       100.9254
          604.59770       -251.9070       135.2308       -27.8162         8.3512       101.7480
          607.60565       -249.9851       132.4120       -27.6439         8.4009       100.7085
          610.61361       -248.5982       130.5440       -25.9377         8.5757        98.6531
          613.62154       -245.7615       125.5303       -25.8564         8.5040       100.1286
          616.62951       -247.8271       119.0057       -24.5349         8.5191       101.9525
          619.63745       -255.5776       118.9373       -22.9050         8.6971       104.2087
          622.64540       -262.0690       124.8046       -23.6655         8.7045       104.4882
          625.65335       -262.8697       129.3381       -26.5771         8.2498       107.1676
          628.66130       -260.6546       128.9679       -26.2819         8.1456       110.2539
          631.66924       -261.8018       128.0264       -27.2021         8.3712       106.9239
          634.67719       -257.4098       128.4387       -30.4262         8.5995       100.5702
          637.68514       -255.7914       128.0380       -28.9455         8.6387        99.0458
          640.69308       -256.0283       125.5538       -29.5222         8.3599       102.3008
          643.70103       -252.6337       121.9588       -28.3594         8.6922        99.3863
          646.70900       -251.5350       122.9874       -32.2954         8.7751        95.8226
          649.71694       -250.5381       123.0135       -34.3236         8.7586        95.8903
          652.72489       -250.7951       124.2433       -30.7253         8.9276        98.2701
          655.73284       -254.7650       127.6440       -27.0639         9.0549        99.6773
          658.74079       -260.3186       130.8267       -24.9313         8.8940       102.3308
          661.74873       -261.0409       127.3453       -22.0011         8.6761       108.3562
          664.75668       -261.8343       119.4923       -23.7190         9.0398       104.8348
          667.76463       -260.8999       121.7638       -27.8934         9.0202       100.8718
          670.77257       -259.4507       126.0996       -25.6672         9.0391       102.4971
          673.78052       -257.6126       128.2228       -23.1245         9.3458       103.2641
          676.78847       -254.6464       126.3054       -20.5063         9.4539       103.2414
          679.79642       -256.3011       122.7448       -22.9999         9.4382       102.5948
          682.80438       -260.8269       122.9275       -26.7108         9.3931       101.7024
          685.81233       -265.3028       126.4293       -31.0984         9.1227       101.9402
          688.82028       -264.2272       126.5476       -32.5418         8.8922       103.7896
          691.82822       -255.7910       127.0630       -29.8921         9.0185       102.9730
          694.83617       -248.8320       125.2442       -26.4717         9.1888       102.9971
          697.84412       -245.2697       123.5627       -23.9869         9.1010       104.4135
          700.85207       -247.1103       118.5976       -26.8105         9.1070       102.0038
          703.86001       -252.6174       122.0319       -29.9834         9.1311        97.7742
          706.86796       -257.3409       130.4495       -20.2706         9.2804        98.6765
          709.87591       -260.0962       131.8484        -9.8590         9.0412       103.4841
          712.88385       -260.0664       129.6386       -11.6756         8.6125       103.2088
          715.89182       -261.4956       128.1924       -14.0052         8.4369       104.5355
          718.89977       -266.3755       133.1822       -16.9587         8.4387       110.9040
          721.90771       -267.0427       136.7519       -20.3552         8.1166       114.0548
          724.91566       -260.4382       130.9382       -21.3764         8.0085       114.8852
          727.92361       -257.3936       126.6895       -25.2655         8.2575       109.0549
          730.93156       -257.4287       120.8841       -26.5733         8.5450       102.2874
          733.93950       -254.9244       121.3746       -24.4519         8.3621       107.7501
          736.94745       -257.2740       124.2288       -19.7595         8.2124       113.2986
          739.95540       -261.8394       126.9508       -16.0749         8.3253       111.2243
          742.96334       -262.5938       127.8165       -17.6866         8.3201       109.3389
          745.97129       -258.9518       125.7043       -17.8738         8.6296       108.2394
          748.97924       -256.4428       125.6934       -18.0221         8.8020       105.7887
          751.98720       -258.3913       124.4998       -16.8784         8.2243       106.2227
          754.99515       -263.9508       119.5502       -16.2824         8.0389       112.4579
          758.00310       -261.7160       119.5532       -16.1141         8.3341       118.5392
          761.01105       -255.3146       124.0758       -15.4525         8.6824       114.9243
          764.01899       -256.7427       124.7499       -17.6549         8.7034       111.6340
          767.02694       -264.7024       126.0285       -20.0784         8.5911       108.3308
          770.03489       -262.9934       136.0475       -22.7357         8.6257       104.9433
          773.04283       -258.2911       137.0590       -22.5403         8.8153       106.0123
          776.05078       -253.8309       134.0991       -21.1701         8.7649       106.7460
          779.05873       -249.7208       127.1585       -19.5240         8.8142       106.3372
          782.06669       -248.9048       125.1773       -19.6517         8.8933       107.4876
          785.07464       -253.0550       125.0935       -20.0240         8.5352       111.6320
          788.08259       -258.6557       124.3613       -20.5678         8.3512       110.3852
          791.09054       -259.5113       125.9058       -22.8664         8.1676       108.3881
          794.09848       -260.3399       127.0834       -23.3459         8.1508       111.4422
          797.10643       -262.5901       125.0912       -21.8246         8.3760       108.4131
          800.11438       -257.3758       122.5130       -22.0534         8.4782       106.9919
          803.12232       -255.7588       122.0881       -22.1991         8.4789       110.1342
          806.13027       -258.3888       123.3342       -22.6107         8.4474       110.8391
          809.13822       -255.1581       125.6275       -23.1204         8.5093       109.7277
          812.14617       -255.6866       120.3675       -23.4494         8.5544       107.3776
          815.15411       -257.2036       121.7477       -23.9878         8.7030       103.5014
          818.16208       -257.8935       122.7688       -23.6944         8.7590       100.7313
          821.17003       -251.8075       122.4280       -25.7002         8.7191        97.4226
          824.17797       -251.2189       124.1357       -28.0812         8.6261        99.3397
          827.18592       -252.0831       123.1698       -29.3806         8.7489        98.1055
          830.19387       -254.1561       120.1331       -28.6555         8.7849        96.1979
          833.20182       -259.3813       116.9615       -27.4989         8.9520        97.0491
          836.20976       -262.0588       114.2147       -25.8206         9.2594        96.6293
          839.21771       -262.4911       115.4275       -23.8546         9.1839        97.2831
          842.22566       -263.8254       122.4416       -25.1191         8.8877       101.7053
          845.23360       -263.7669       125.5521       -26.8791         8.8300        99.2632
          848.24157       -263.9440       123.3620       -25.5558         8.9790        96.3180
          851.24950       -257.5433       123.9659       -26.0360         8.7454        98.0449
          854.25746       -254.2984       125.0690       -23.5169         8.7723       101.3612
          857.26541       -258.2455       123.7114       -19.2033         9.0468       103.2385
          860.27336       -258.6045       121.7327       -18.4895         8.7842       108.7051
          863.28131       -259.5370       120.9959       -15.7045         9.1255       107.9887
          866.28925       -259.3703       119.1536       -18.5690         8.9262       105.1241
          869.29720       -255.0589       123.9295       -20.1425         8.3697       108.3534
          872.30515       -255.6093       124.1574       -15.4946         8.7842       111.5353
          875.31309       -257.1673       123.3847       -16.4186         8.8314       112.8821
          878.32104       -256.5820       124.1262       -15.0151         8.6625       114.4844
          881.32899       -255.2871       123.8679       -14.8973         8.6569       113.1643
          884.33695       -259.1216       121.7254       -17.9548         8.8401       109.9478
          887.34488       -262.9997       122.0171       -18.0724         8.9538       110.7381
          890.35285       -263.9004       121.6765       -14.4248         8.9069       114.1913
