Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2007-06-08/06:34:01          7.8399        -4.9868        27.9423        29.4466      -119.8516       110.3606       -21.1176       164.2858        32.5283       121.7700
2007-06-08/06:34:04          7.5462        -5.9851        30.5357        32.0187      -123.9886       104.0001       -17.8903       162.8166        31.2819       118.0632
2007-06-08/06:34:07          8.3624        -6.8476        29.6734        31.5806      -114.7228       102.7043       -18.9757       155.1437        31.8316       114.2237
2007-06-08/06:34:10          9.0494        -6.8740        26.8591        29.1643      -127.0895       108.8197       -21.4214       168.6783        30.6866       127.4361
2007-06-08/06:34:13         10.5252        -5.8867        29.9066        32.2466      -131.3048       107.4954       -16.8207       170.5260        30.4995       123.0633
2007-06-08/06:34:16          7.9826        -8.7072        27.8557        30.2568      -117.3883       106.6804       -20.4001       159.9277        32.2653       124.4677
2007-06-08/06:34:19          8.4398        -7.6697        31.1759        33.1962      -114.7319       109.0111       -18.3780       159.3254        30.6630       117.8609
2007-06-08/06:34:22          7.4340        -4.3756        30.7007        31.8896      -117.8442       105.5767       -15.7958       159.0069        30.2540       124.8315
2007-06-08/06:34:25          6.5525        -9.4570        28.5525        30.7833      -107.2279       105.6617       -22.9519       152.2794        33.8481       112.4563
2007-06-08/06:34:28          7.7712        -6.3223        27.7199        29.4747      -117.6265       106.3987       -19.1013       159.7547        32.5053       123.3023
2007-06-08/06:34:31          8.0338        -8.5506        31.3217        33.4471      -116.3136       113.5088       -16.4975       163.3562        32.0955       121.7274
2007-06-08/06:34:34          8.0186        -7.6239        30.6033        32.5420      -110.0201        93.1882       -21.7204       145.8089        31.6791       119.8992
2007-06-08/06:34:37          8.6454        -6.5435        29.9020        31.8071      -115.4881       105.8340       -18.9468       157.7889        31.4462       116.7567
2007-06-08/06:34:40          8.9528        -9.8758        28.0261        31.0346      -116.2334       105.8106       -21.1697       158.6009        35.0660       117.3721
2007-06-08/06:34:43          8.7330        -8.3794        30.2094        32.5436      -118.2630        98.5367       -18.9140       155.0914        31.3780       123.7425
2007-06-08/06:34:46          8.9650        -8.9910        26.7471        29.6077      -115.8627       103.0054       -19.0104       156.1911        32.9852       121.2695
2007-06-08/06:34:49          9.0059        -7.2165        26.5260        28.9278      -116.6952       100.5381       -26.7826       156.3425        34.4519       122.7851
2007-06-08/06:34:52          8.0145        -4.9676        29.5094        30.9792      -126.6786       106.3197       -16.0822       166.1625        35.2192       115.2394
2007-06-08/06:34:55          9.9096        -7.6773        29.3879        31.9498      -122.8603       106.7319       -21.6885       164.1851        34.9665       121.7888
2007-06-08/06:34:58          8.5762        -6.0927        30.5465        32.3073      -112.1992        90.4734       -20.0113       145.5148        30.8619       118.9577
2007-06-08/06:35:01          7.3652        -6.0676        28.5241        30.0780      -121.3480       102.6989       -19.0315       160.1080        35.0293       113.4999
2007-06-08/06:35:04          8.1194        -5.2629        30.2718        31.7806      -113.9395       105.2927       -20.7135       156.5177        33.5074       114.7268
