Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          391.23266          6.0742        -9.0496        16.3129        19.6190        31.3486        72.4456        47.1025        91.9514         1.4132      1075.5213
          394.24215          6.5491        -9.4058        16.0517        19.7235        30.8576        69.1691        49.1985        90.3588         1.3840      1103.4679
          397.25163          7.6591        -8.9352        16.0256        19.8827        17.8276        67.4093        49.3588        86.2983         1.4423      1075.9090
          400.26111          6.4542        -9.4325        16.3896        19.9811         0.2297        64.2668        47.9814        80.2787         1.2092      1225.5806
          403.27059          5.4900        -9.5695        16.6789        19.9975        -5.7836        55.7837        49.3166        74.9354         1.2383      1240.5908
          406.28008          5.3650        -9.4321        16.4390        19.6974        -9.0226        43.8357        44.4024        63.0592         1.2092      1274.6500
          409.28956          5.3919        -8.7077        16.6735        19.5679        -3.1987        38.2196        37.1302        53.5358         1.2383      1230.0407
          412.29904          5.4440        -8.9593        16.5578        19.5976        -2.2685        33.2822        36.9771        50.2903         1.1509      1282.5961
          415.30853          6.5484        -9.8448        16.1189        19.9905        -7.2960        30.9857        43.0257        53.5633         1.1509      1271.5299
          418.31801          6.8706        -9.9918        15.9134        20.0069        -7.2122        31.4919        44.7930        55.3201         1.1801      1304.1704
          421.32749          6.5539       -10.0054        15.9970        19.9741       -10.4443        27.8440        44.6501        53.6587         1.1509      1345.7554
          424.33697          5.9809       -10.0096        16.4318        20.1486        -9.5748        26.7752        46.0132        54.1070         1.0926      1420.7915
          427.34646          6.3203       -10.0372        16.4619        20.2901        -8.2632        23.8794        42.4749        49.4418         1.1509      1318.2394
          430.35593          6.4926        -9.8903        16.5692        20.3595        -8.8107        17.9723        38.7921        43.8181         1.1218      1385.3374
          433.36542          6.4624        -9.2056        16.8984        20.2993       -13.6751        10.0388        39.0993        43.1541         1.1801      1332.6797
          436.37490          6.0768        -8.6752        17.3226        20.3042       -22.0973         3.4491        37.4010        43.8188         1.1801      1322.1938
          439.38438          5.7163        -8.2575        17.2091        19.9252       -20.9792        -3.2237        29.1430        36.1358         1.1801      1342.1756
          442.39386          5.7724        -8.1197        16.7912        19.5242       -20.9438        -3.0281        23.1037        31.7872         1.2383      1349.6682
          445.40334          5.7694        -7.6941        16.3268        18.9486       -26.8995         0.9834        16.3878        31.7871         1.2092      1360.3749
          448.41283          5.7161        -8.2160        16.1007        18.9581       -32.4935        -0.4563         8.5913        34.1925         1.0926      1516.2692
          451.42231          6.7649        -9.4665        15.4403        19.3334       -34.2608        -2.2949         1.9417        34.4153         1.0635      1550.1819
          454.43179          6.7396        -9.9421        14.9976        19.2145       -38.3546        -4.7947         1.8067        38.8134         1.0344      1585.3630
          457.44127          6.6536        -9.4920        15.0475        18.9947       -37.3621       -10.8094        -1.9488        39.2995         1.0926      1538.6332
          460.45075          6.3965        -8.5430        15.2755        18.6344       -28.7772       -24.6126        -5.7963        39.8523         1.0052      1637.4343
          463.46024          6.2989        -7.9028        15.5248        18.5243       -22.1680       -41.2983       -11.5274        48.4555         1.0344      1620.2350
          466.46972          6.3143        -6.8472        15.5344        18.1128       -21.3750       -46.4358       -17.6364        54.1586         1.1218      1513.5783
          469.47920          6.5887        -6.7765        15.0477        17.7698       -23.4057       -47.9559       -24.1022        58.6316         1.1218      1549.1537
          472.48868          6.8463        -6.5543        14.9797        17.7263       -21.3126       -51.4767       -25.5640        61.4573         1.1509      1533.6375
          475.49817          7.1796        -6.7883        15.1464        18.0843       -16.3726       -58.0023       -24.5672        65.3193         1.0926      1571.0553
          478.50765          6.5643        -6.9867        15.4997        18.2249        -6.7284       -64.9367       -27.1556        71.0009         1.1218      1564.1227
          481.51713          6.3415        -7.0107        15.1060        17.8201         2.3596       -67.1160       -23.6984        71.2802         1.1509      1572.2710
          484.52661          6.4862        -6.0423        15.2300        17.6219         5.0789       -66.9270       -23.3055        71.0622         1.0635      1652.0344
          487.53610          6.3162        -5.3716        15.8235        17.8642         7.1131       -71.6485       -27.9979        77.4277         1.1509      1591.6953
          490.54558          6.4321        -5.3550        15.9939        18.0514        14.9800       -73.0026       -32.2334        81.2804         1.1801      1473.5185
          493.55506          6.7568        -5.2171        15.9485        18.0894        20.3105       -72.6567       -33.3498        82.5458         1.1801      1502.6206
          496.56454          7.1870        -5.2622        15.8706        18.1994        22.6839       -71.0322       -36.9013        83.2120         1.1509      1509.5104
          499.57402          7.6688        -5.1508        15.9195        18.4057        26.3785       -68.3593       -32.1308        80.1988         1.1801      1428.1155
          502.58351          7.7363        -5.5640        15.8674        18.5090        33.8052       -67.1579       -28.3128        80.5019         1.2092      1439.2787
          505.59299          7.6191        -5.5819        15.4804        18.1343        38.4389       -63.5126       -27.1447        79.1361         1.1801      1477.0464
          508.60246          7.5774        -5.5221        15.2947        17.9398        38.9477       -62.2090       -20.5338        76.2430         1.2092      1413.1276
          511.61195          7.7026        -5.6325        15.2505        17.9897        40.4952       -58.4330       -17.8897        73.3425         1.1801      1494.1442
          514.62143          7.5205        -5.7304        15.3062        17.9909        40.2662       -52.0635       -12.6757        67.2095         1.1801      1502.4315
          517.63091          7.1925        -5.6983        15.4500        17.9695        39.9515       -50.1341        -9.9295        65.0192         1.1801      1491.1277
          520.64039          7.1087        -5.6106        15.6036        18.0412        43.6777       -51.7772       -10.8603        68.9434         1.2092      1434.9686
          523.64988          6.6759        -5.3176        16.0614        18.1883        45.1726       -55.0102        -1.3818        71.4735         1.2092      1459.0020
          526.65936          6.5927        -5.1518        16.4965        18.4970        38.2452       -56.3327        -0.2297        68.1629         1.2383      1444.0352
          529.66884          7.6723        -4.4174        15.9009        18.1993        32.9762       -54.6354        -6.9793        64.5191         1.2092      1421.4554
          532.67832          7.9534        -4.5376        15.9190        18.3647        25.7117       -56.3388       -12.4376        63.1845         1.2675      1341.6304
          535.68781          8.0241        -4.7723        16.3730        18.8477        23.6746       -58.8334       -17.0494        65.7725         1.3549      1215.0343
          538.69729          8.1872        -5.3424        17.1833        19.7696        27.4211       -63.1407       -23.5676        72.9601         1.3549      1217.8113
          541.70677          7.5681        -6.2984        17.7384        20.2878        36.4139       -63.8487       -27.4000        78.4680         1.3257      1171.5081
          544.71625          7.6646        -6.6374        17.6320        20.3393        40.3534       -63.8407       -33.1133        82.5737         1.3257      1149.1827
          547.72573          8.6777        -6.3428        16.9101        20.0371        45.6665       -66.6189       -40.6391        90.4223         1.3257      1155.0766
          550.73522          9.0795        -5.7593        16.7063        19.8672        53.4040       -70.0133       -40.4911        97.0648         1.3257      1158.1087
          553.74470          9.3508        -5.6098        16.1717        19.5047        60.0312       -70.5400       -39.3082       100.6444         1.2966      1203.0933
          556.75418         10.1086        -5.8402        15.8341        19.6726        62.1252       -74.7550       -41.5409       105.7585         1.2966      1174.2820
          559.76366          9.6784        -4.9791        16.8547        20.0635        66.2881       -80.0747       -39.0994       111.0979         1.3549      1142.1086
          562.77314         10.1513        -4.6415        17.1262        20.4426        77.2503       -78.7920       -37.6758       116.8613         1.2966      1159.4851
          565.78263         10.1480        -4.6921        17.4806        20.7502        84.3157       -72.6097       -28.6840       115.1870         1.2966      1165.5276
          568.79211          9.7163        -3.9979        18.4192        21.2051        80.1349       -64.4243       -17.1088       104.3092         1.2675      1166.0608
          571.80159          8.8500        -3.4055        19.0945        21.3195        79.1370       -50.5622       -12.7886        95.1308         1.2675      1188.8976
          574.81107          7.5539        -2.8720        19.6205        21.2196        78.9007       -38.1585        -4.3673        87.8508         1.2675      1187.0841
          577.82055          7.1408        -2.9240        19.6172        21.0802        72.9392       -33.1247         2.0889        80.1951         1.3549      1113.0512
          580.83004          6.5992        -3.0156        19.7743        21.0634        65.6339       -30.9682        11.5145        73.9060         1.2675      1154.8961
