Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(K)
2008-04-15/06:07:52         -3.3817         1.2113         7.2965         8.1328        14.0400        24.7700        11.6905        30.7789         0.8304       795.3758
2008-04-15/06:07:55         -3.1195         1.3699         7.4962         8.2342         4.2281        20.8661         4.5327        21.7673         0.8304       826.6387
2008-04-15/06:07:58         -2.8290         1.5442         7.7011         8.3483         3.7877        29.0597         9.2200        30.7217         0.8887       773.5760
2008-04-15/06:08:01         -2.5983         1.2876         7.7065         8.2341         0.7056        31.0533        14.4663        34.2648         0.8595       763.3241
2008-04-15/06:08:04         -2.5089         1.3733         7.7134         8.2266         1.5499        30.1191         9.8003        31.7113         0.8595       772.6718
2008-04-15/06:08:07         -2.4639         1.5061         7.8122         8.3289        -2.6962        38.5060        17.2604        42.2836         0.8304       806.1357
2008-04-15/06:08:10         -2.2065         1.2203         7.6696         8.0735        -2.4277        36.4128        12.6525        38.6247         0.8595       778.4785
2008-04-15/06:08:13         -2.0205         1.2823         7.4858         7.8590        -9.3257        33.0208        11.1509        36.0789         0.8595       771.9012
2008-04-15/06:08:16         -2.1287         1.4829         7.4436         7.8828        -8.3751        31.1525        16.4731        36.2213         0.8595       783.7818
2008-04-15/06:08:19         -2.0995         1.6760         7.5854         8.0471       -12.7929        30.1073        19.8909        38.2852         0.8595       786.4107
2008-04-15/06:08:22         -2.2750         1.4492         7.6240         8.0871        -7.2129        32.5296        19.5528        38.6330         0.8595       764.2779
2008-04-15/06:08:25         -2.2948         1.6486         7.6933         8.1958       -17.6334        28.3102        15.6098        36.8248         0.8887       769.5448
2008-04-15/06:08:28         -2.9364         1.7779         7.7786         8.5023       -26.7647        25.4607        19.6571        41.8449         0.8304       802.3440
2008-04-15/06:08:31         -3.2141         1.8013         7.9832         8.7924       -32.6680        32.9359        13.1664        48.2216         0.8595       761.7440
2008-04-15/06:08:34         -3.1594         1.6077         8.0061         8.7558       -34.5192        25.8460        12.0352        44.7709         0.8595       781.1747
2008-04-15/06:08:37         -3.2473         1.9492         8.1347         8.9732       -42.5544        24.3901        11.4668        50.3710         0.8304       794.6354
2008-04-15/06:08:40         -3.1281         2.0155         8.0375         8.8572       -43.4989        24.0200        10.8674        50.8647         0.8887       777.1196
2008-04-15/06:08:43         -2.9014         2.0859         8.0659         8.8220       -47.5273        28.0007         2.7319        55.2299         0.8887       765.7328
2008-04-15/06:08:46         -3.1185         1.8831         8.0662         8.8507       -49.1876        25.4494         5.2954        55.6339         0.8887       785.0800
2008-04-15/06:08:49         -3.2209         2.0700         8.1757         9.0278       -38.3890        31.1913         5.6848        49.7888         0.8595       779.1233
2008-04-15/06:08:52         -3.3839         2.2230         8.5119         9.4257       -43.5512        35.1578         8.5572        56.6215         0.8595       781.2770
2008-04-15/06:08:55         -3.3974         2.0774         8.5365         9.4196       -30.8871        32.1141        11.3570        45.9816         0.8595       795.0922
2008-04-15/06:08:58         -3.3834         1.8311         8.4319         9.2681       -35.8770        33.2981        11.1388        50.1996         0.9178       734.1096
2008-04-15/06:09:01         -3.3021         2.0092         8.4302         9.2741       -31.8246        32.8314        19.4779        49.7001         0.8887       761.9509
