Time                         Bx(nT)         By(nT)         Bz(nT)         Btot(km/s)    Vx(km/s)        Vy(km/s)      Vz(km/s)       Vtot(km/s)      Density(cm^-3)Temp(eV)
          400.04451          5.1703        -4.2483         8.0743        10.4869      -316.2464        95.6669        39.8140       333.0478         0.9014       694.7249
          403.05236          3.7214        -3.6775         7.8157         9.4052      -282.2180        92.9390        30.7396       299.0136         0.8958       712.3077
          406.06020          5.2644        -3.7660         8.7693        10.8994      -303.2571        90.9058        79.5085       328.7789         1.0892       653.3926
          409.06807          6.4271        -4.1130         8.2833        11.2622      -316.3877        75.5334       118.8519       346.4585         1.1878       571.4904
          412.07592          6.5929        -5.5281         9.7921        13.0350      -304.0304        82.6719        78.2961       326.2254         0.8514       712.1901
          415.08377          6.5966        -5.0683        11.1034        13.8740      -281.8469        87.0855        39.2178       297.6298         0.6048       857.9637
          418.09163          0.0762        -3.4525        13.0900        13.5379      -266.4404        92.1661        39.7906       285.0256         0.6612       827.0326
          421.09947          1.2569        -3.1930        13.2321        13.6698      -267.4018        94.3819        27.8688       285.4918         0.6461       835.6082
          424.10733          1.1256        -1.6698        13.9637        14.1082      -254.9910        80.1219        23.8427       268.7622         0.6101       859.5261
          427.11518         -1.5013        -2.2349        11.3450        11.6601      -221.3977        81.9043        35.9859       238.8826         0.7066       815.1922
          430.12303          3.4741        -2.8766        12.1193        12.9314      -292.6494       100.3588        65.2718       316.3959         0.9311       707.0995
          433.13090          3.0771        -4.2319        11.3823        12.5273      -360.2531       114.2172       101.6517       391.5723         1.1661       592.4313
          436.13874          3.7283        -6.0172        12.8355        14.6580      -341.5406       102.3522       104.6240       371.6658         1.1270       573.9131
          439.14659          3.6798        -6.0026         9.2617        11.6340      -317.4983        95.4100       110.8335       350.1528         1.4690       474.9578
          442.15445         11.8803        -9.8307         0.4323        15.4263      -332.3631        82.8547       109.1578       361.0752         2.4325       240.1652
          445.16230         11.2168       -10.4392         0.6077        15.3350      -333.8952        94.4240        68.8085       354.2209         2.3982       237.1877
          448.17015         10.6413        -8.1375         5.5897        14.5155      -355.9462       128.5203        90.5034       389.3656         2.0915       266.7275
          451.17801         12.0492       -10.9465         4.9961        17.0285      -349.4238       129.1705        91.7714       384.0496         2.2471       241.6318
          454.18586         13.0577        -9.2494         5.9891        17.0858      -365.2916       131.0527        84.1377       397.2780         3.0179       213.2361
          457.19372         12.0797        -8.2777         7.6042        16.5004      -371.7951       136.7530        89.2932       406.2879         3.2568       196.3485
          460.20157          9.3978        -9.3566         5.2941        14.2791      -370.2870       125.3602        74.2609       398.0122         3.1966       199.7480
          463.20942          9.3620        -6.7662         7.3488        13.6906      -396.9439       126.4358        97.1126       428.1072         3.5268       202.0529
          466.21728          6.6438        -6.8225        13.5790        16.5855      -423.2123       145.0357       123.6105       464.1915         3.1082       196.6592
          469.22513          9.2091        -8.4036        11.1123        16.7006      -403.4265       139.2935       111.9225       441.3346         2.8161       186.9176
          472.23298         11.8175        -9.0495         8.9298        17.3576      -388.0754       119.9272        97.3952       417.7392         2.7193       183.6076
          475.24084         12.4800        -9.0973         8.1639        17.4688      -389.6441       117.1857        96.1501       418.1359         2.7539       177.0359
          478.24869         10.5925        -9.3496         9.8065        17.1984      -388.6272       119.1012       104.2925       419.6380         3.0550       166.0185
          481.25654          9.1469       -10.6407        10.2347        17.3678      -392.4157       114.4439       100.8037       421.1503         3.2855       165.0948
          484.26440          8.9564       -10.6886        10.7571        17.6119      -403.1156       110.6416       100.2576       429.9539         3.5345       162.2714
          487.27225          8.5388       -10.4171        10.3192        16.9680      -406.7305       119.7786       114.1738       439.1564         4.0856       150.1507
          490.28011          7.0791       -10.3036        12.0216        17.3435      -393.2780       119.2212       120.0342       428.1357         4.1609       142.7938
          493.28796         10.3158       -11.4826         8.9068        17.8212      -372.7774       111.1938       112.1667       404.9297         3.9681       141.8796
